genre_name,movies_count,avg_rating,avg_popularity,avg_revenue
History,197,6.72,17.44,57523562
War,144,6.71,23.78,84155874
Documentary,103,6.66,4.19,10507550
Drama,2275,6.45,17.94,52620207
Music,183,6.43,13.24,48985525
Western,79,6.41,18.91,48002141
Foreign,34,6.35,0.69,364652
Animation,234,6.34,38.81,225693025
Crime,691,6.32,23.02,66629316
Mystery,345,6.24,24.80,78981805
Romance,891,6.23,16.02,60204419
Adventure,790,6.16,39.27,208660204
Fantasy,424,6.10,36.39,193354245
Family,510,6.07,28.00,163300468
Thriller,1265,6.05,24.63,81620890
Science Fiction,534,6.02,36.52,152742015
Action,1149,6.02,31.07,141827602
Comedy,1709,5.99,18.36,71831783
Horror,513,5.69,18.51,44054376
TV Movie,8,5.66,6.39,0
