company_name,movies_count,avg_revenue,avg_rating,total_revenue
Warner Bros.,285,172476308,6.41,49155747874
Universal Pictures,276,154306036,6.32,42588465942
Paramount Pictures,251,162862642,6.28,40878523165
Twentieth Century Fox Film Corporation,205,191986104,6.25,39357151309
Walt Disney Pictures,100,286832560,6.39,28683256048
Columbia Pictures,168,170235921,6.23,28599634775
New Line Cinema,144,135033790,6.16,19444865804
Amblin Entertainment,47,342358195,6.63,16090835147
DreamWorks SKG,67,214694532,6.60,14384533626
Dune Entertainment,56,246384003,5.97,13797504190
Village Roadshow Pictures,74,181788427,6.10,13452343571
Relativity Media,100,127610117,6.12,12761011694
DreamWorks Animation,31,411322963,6.59,12751011861
Legendary Pictures,34,333479327,6.49,11338297127
Touchstone Pictures,95,111210415,6.33,10564989420
